0,1,2,3,4
Argentina,2 - 1,Croatia,5,23
Argentina,4 - 1,Nigeria,5,-39
Island,0 - 2,Croatia,5,40
Island,2 - 1,Nigeria,5,-25
Croatia,0 - 2,Nigeria,5,8
Brazil,1 - 1,Switzerland,5,11
Brazil,5 - 1,Costa Rica,5,24
Brazil,2 - 1,Serbia,5,-43
Switzerland,1 - 0,Costa Rica,5,44
Switzerland,0 - 0,Serbia,5,-26
Costa Rica,2 - 2,Serbia,5,9
Germany,5 - 0,Mexico,5,10
Germany,4 - 1,Sweden,5,29
Germany,1 - 1,South Korea,5,-42
Mexico,3 - 3,Sweden,5,41
Mexico,1 - 4,South Korea,5,-28
Sweden,1 - 0,South Korea,5,12
Belgium,2 - 0,Panama,5,13
Belgium,2 - 0,Tunesia,5,27
Belgium,1 - 4,England,5,-45
Panama,0 - 2,Tunesia,5,47
Panama,0 - 7,England,5,-30
Tunesia,0 - 5,England,5,14
Poland,2 - 2,Senegal,5,16
Poland,0 - 0,Colombia,5,32
Poland,0 - 2,Japan,5,-48
Senegal,1 - 2,Colombia,5,46
Senegal,2 - 0,Japan,5,-31
Colombia,3 - 1,Japan,5,15
Russia,1 - 0,Saudi Arabia,6,1
Russia,1 - 1,Egypt,6,17
Russia,0 - 2,Uruguay,6,-34
Saudi Arabia,1 - 0,Egypt,6,33
Saudi Arabia,2 - 0,Uruguay,6,-19
Egypt,1 - 2,Uruguay,6,2
Portugal,2 - 1,Spain,6,4
Portugal,3 - 2,Morocco,6,18
Portugal,4 - 0,Iran,6,-35
Spain,0 - 0,Morocco,6,36
Spain,2 - 1,Iran,6,-20
Morocco,0 - 2,Iran,6,3
France,2 - 1,Australia,6,5
France,2 - 0,Peru,6,22
France,2 - 0,Denmark,6,-38
Australia,0 - 2,Peru,6,37
Australia,2 - 2,Denmark,6,-21
Peru,2 - 1,Denmark,6,7
Argentina,2 - 3,Island,6,6
Argentina,3 - 2,Croatia,6,23
Argentina,4 - 0,Nigeria,6,-39
Island,3 - 5,Croatia,6,40
Island,1 - 1,Nigeria,6,-25
Croatia,2 - 2,Nigeria,6,8
Brazil,4 - 1,Switzerland,6,11
Brazil,2 - 0,Costa Rica,6,24
Brazil,4 - 0,Serbia,6,-43
Switzerland,1 - 0,Costa Rica,6,44
Switzerland,1 - 1,Serbia,6,-26
Costa Rica,0 - 1,Serbia,6,9
Germany,4 - 1,Mexico,6,10
Germany,3 - 0,Sweden,6,29
Germany,4 - 0,South Korea,6,-42
Mexico,0 - 1,Sweden,6,41
Mexico,2 - 2,South Korea,6,-28
Sweden,1 - 1,South Korea,6,12
Belgium,5 - 0,Panama,6,13
Belgium,2 - 1,Tunesia,6,27
Belgium,3 - 0,England,6,-45
Panama,1 - 1,Tunesia,6,47
Panama,1 - 3,England,6,-30
Tunesia,0 - 2,England,6,14
Poland,3 - 3,Senegal,6,16
Poland,3 - 4,Colombia,6,32
Poland,1 - 1,Japan,6,-48
Senegal,1 - 2,Colombia,6,46
Senegal,1 - 2,Japan,6,-31
Colombia,0 - 0,Japan,6,15
Russia,2 - 2,Saudi Arabia,7,1
Russia,3 - 0,Egypt,7,17
Russia,1 - 0,Uruguay,7,-34
Saudi Arabia,0 - 4,Egypt,7,33
Saudi Arabia,0 - 1,Uruguay,7,-19
Egypt,0 - 1,Uruguay,7,2
Portugal,0 - 3,Spain,7,4
Portugal,3 - 1,Morocco,7,18
Portugal,1 - 0,Iran,7,-35
Spain,4 - 0,Morocco,7,36
Spain,0 - 1,Iran,7,-20
Morocco,2 - 1,Iran,7,3
France,2 - 1,Australia,7,5
France,1 - 2,Peru,7,22
France,0 - 0,Denmark,7,-38
Australia,1 - 2,Peru,7,37
Australia,0 - 2,Denmark,7,-21
Peru,2 - 2,Denmark,7,7
Argentina,3 - 1,Island,7,6
